date,username,text,case folding,tokenizing,filtering,stemmed,tweet_final
2/20/2023 4:21,PittsburghPG,Blinken tours earthquake zone in Turkey unveils 100 million in aid ,blinken tours earthquake zone in turkey unveils 100 million in aid ,"['blinken', 'tours', 'earthquake', 'zone', 'in', 'turkey', 'unveils', '100', 'million', 'in', 'aid']","['blinken', 'tours', 'earthquake', 'zone', 'turkey', 'unveils', '100', 'million', 'aid']","['blinken', 'tour', 'earthquak', 'zone', 'turkey', 'unveil', '100', 'million', 'aid']",blinken tour earthquak zone turkey unveil 100 million aid
2/20/2023 4:23,AJforArizona,Thank you for your continuous support to the victims in Turkey and Syria ,thank you for your continuous support to the victims in turkey and syria ,"['thank', 'you', 'for', 'your', 'continuous', 'support', 'to', 'the', 'victims', 'in', 'turkey', 'and', 'syria']","['thank', 'continuous', 'support', 'victims', 'turkey', 'syria']","['thank', 'continu', 'support', 'victim', 'turkey', 'syria']",thank continu support victim turkey syria
2/20/2023 4:24,BGokhsn,My dear cousin Nurdan and her husband Talat who lost their lives in the great earthquake in Turkey You remain unforgotten ,my dear cousin nurdan and her husband talat who lost their lives in the great earthquake in turkey you remain unforgotten ,"['my', 'dear', 'cousin', 'nurdan', 'and', 'her', 'husband', 'talat', 'who', 'lost', 'their', 'lives', 'in', 'the', 'great', 'earthquake', 'in', 'turkey', 'you', 'remain', 'unforgotten']","['dear', 'cousin', 'nurdan', 'husband', 'talat', 'lost', 'lives', 'great', 'earthquake', 'turkey', 'remain', 'unforgotten']","['dear', 'cousin', 'nurdan', 'husband', 'talat', 'lost', 'live', 'great', 'earthquak', 'turkey', 'remain', 'unforgotten']",dear cousin nurdan husband talat lost live great earthquak turkey remain unforgotten
2/20/2023 4:24,deenvoss,The death toll from the devastating earthquakes in southeastern has exceeded 41 000 Turkey s Emergency Management Agency ,the death toll from the devastating earthquakes in southeastern has exceeded 41 000 turkey s emergency management agency ,"['the', 'death', 'toll', 'from', 'the', 'devastating', 'earthquakes', 'in', 'southeastern', 'has', 'exceeded', '41', '000', 'turkey', 's', 'emergency', 'management', 'agency']","['death', 'toll', 'devastating', 'earthquakes', 'southeastern', 'exceeded', '41', '000', 'turkey', 'emergency', 'management', 'agency']","['death', 'toll', 'devast', 'earthquak', 'southeastern', 'exceed', '41', '000', 'turkey', 'emerg', 'manag', 'agenc']",death toll devast earthquak southeastern exceed 41 000 turkey emerg manag agenc
2/20/2023 4:24,ebegodlyk,Sad news Christian Atsu dies aged 31 as body found 12 days after devastating earthquake in Turkey his agent and manager have both confirmed The former premier league footballer who played for both Newcastle and Chelsea went missing following the devastating earthquake in Turkey ,sad news christian atsu dies aged 31 as body found 12 days after devastating earthquake in turkey his agent and manager have both confirmed the former premier league footballer who played for both newcastle and chelsea went missing following the devastating earthquake in turkey ,"['sad', 'news', 'christian', 'atsu', 'dies', 'aged', '31', 'as', 'body', 'found', '12', 'days', 'after', 'devastating', 'earthquake', 'in', 'turkey', 'his', 'agent', 'and', 'manager', 'have', 'both', 'confirmed', 'the', 'former', 'premier', 'league', 'footballer', 'who', 'played', 'for', 'both', 'newcastle', 'and', 'chelsea', 'went', 'missing', 'following', 'the', 'devastating', 'earthquake', 'in', 'turkey']","['sad', 'news', 'christian', 'atsu', 'dies', 'aged', '31', 'body', 'found', '12', 'days', 'devastating', 'earthquake', 'turkey', 'agent', 'manager', 'confirmed', 'former', 'premier', 'league', 'footballer', 'played', 'newcastle', 'chelsea', 'went', 'missing', 'following', 'devastating', 'earthquake', 'turkey']","['sad', 'news', 'christian', 'atsu', 'die', 'age', '31', 'bodi', 'found', '12', 'day', 'devast', 'earthquak', 'turkey', 'agent', 'manag', 'confirm', 'former', 'premier', 'leagu', 'footbal', 'play', 'newcastl', 'chelsea', 'went', 'miss', 'follow', 'devast', 'earthquak', 'turkey']",sad news christian atsu die age 31 bodi found 12 day devast earthquak turkey agent manag confirm former premier leagu footbal play newcastl chelsea went miss follow devast earthquak turkey
2/20/2023 4:25,gozemturan,The director of Aftersun Charlotte Wells tearfully honours Turkey earthquake victims as she accepts Bafta Awards ,the director of aftersun charlotte wells tearfully honours turkey earthquake victims as she accepts bafta awards ,"['the', 'director', 'of', 'aftersun', 'charlotte', 'wells', 'tearfully', 'honours', 'turkey', 'earthquake', 'victims', 'as', 'she', 'accepts', 'bafta', 'awards']","['director', 'aftersun', 'charlotte', 'wells', 'tearfully', 'honours', 'turkey', 'earthquake', 'victims', 'accepts', 'bafta', 'awards']","['director', 'aftersun', 'charlott', 'well', 'tear', 'honour', 'turkey', 'earthquak', 'victim', 'accept', 'bafta', 'award']",director aftersun charlott well tear honour turkey earthquak victim accept bafta award
2/20/2023 4:25,Heyva__Sor,The Italian actor director writer and playwright Ascanio Celestini invites to support the earthquake victims with a donation to Heyva Sor a Kurdistan Thank you for your support ,the italian actor director writer and playwright ascanio celestini invites to support the earthquake victims with a donation to heyva sor a kurdistan thank you for your support ,"['the', 'italian', 'actor', 'director', 'writer', 'and', 'playwright', 'ascanio', 'celestini', 'invites', 'to', 'support', 'the', 'earthquake', 'victims', 'with', 'a', 'donation', 'to', 'heyva', 'sor', 'a', 'kurdistan', 'thank', 'you', 'for', 'your', 'support']","['italian', 'actor', 'director', 'writer', 'playwright', 'ascanio', 'celestini', 'invites', 'support', 'earthquake', 'victims', 'donation', 'heyva', 'sor', 'kurdistan', 'thank', 'support']","['italian', 'actor', 'director', 'writer', 'playwright', 'ascanio', 'celestini', 'invit', 'support', 'earthquak', 'victim', 'donat', 'heyva', 'sor', 'kurdistan', 'thank', 'support']",italian actor director writer playwright ascanio celestini invit support earthquak victim donat heyva sor kurdistan thank support
2/20/2023 4:26,afbnworld,Turkey has announced that the search and rescue efforts have been completed in the earthquake zone except in the southern Kahramanmaras and Hatay provinces as the death toll increased further ,turkey has announced that the search and rescue efforts have been completed in the earthquake zone except in the southern kahramanmaras and hatay provinces as the death toll increased further ,"['turkey', 'has', 'announced', 'that', 'the', 'search', 'and', 'rescue', 'efforts', 'have', 'been', 'completed', 'in', 'the', 'earthquake', 'zone', 'except', 'in', 'the', 'southern', 'kahramanmaras', 'and', 'hatay', 'provinces', 'as', 'the', 'death', 'toll', 'increased', 'further']","['turkey', 'announced', 'search', 'rescue', 'efforts', 'completed', 'earthquake', 'zone', 'except', 'southern', 'kahramanmaras', 'hatay', 'provinces', 'death', 'toll', 'increased']","['turkey', 'announc', 'search', 'rescu', 'effort', 'complet', 'earthquak', 'zone', 'except', 'southern', 'kahramanmara', 'hatay', 'provinc', 'death', 'toll', 'increas']",turkey announc search rescu effort complet earthquak zone except southern kahramanmara hatay provinc death toll increas
2/20/2023 4:27,simeon_amunkete, He was one of the Turkey earthquake victims, he was one of the turkey earthquake victims,"['he', 'was', 'one', 'of', 'the', 'turkey', 'earthquake', 'victims']","['one', 'turkey', 'earthquake', 'victims']","['one', 'turkey', 'earthquak', 'victim']",one turkey earthquak victim
2/20/2023 4:27,seifu_hassen,The devastating earthquake that killed more than 46 000 people across Turkey and Syria over the past two weeks was one of the worst disasters in recent history ,the devastating earthquake that killed more than 46 000 people across turkey and syria over the past two weeks was one of the worst disasters in recent history ,"['the', 'devastating', 'earthquake', 'that', 'killed', 'more', 'than', '46', '000', 'people', 'across', 'turkey', 'and', 'syria', 'over', 'the', 'past', 'two', 'weeks', 'was', 'one', 'of', 'the', 'worst', 'disasters', 'in', 'recent', 'history']","['devastating', 'earthquake', 'killed', '46', '000', 'people', 'across', 'turkey', 'syria', 'past', 'two', 'weeks', 'one', 'worst', 'disasters', 'recent', 'history']","['devast', 'earthquak', 'kill', '46', '000', 'peopl', 'across', 'turkey', 'syria', 'past', 'two', 'week', 'one', 'worst', 'disast', 'recent', 'histori']",devast earthquak kill 46 000 peopl across turkey syria past two week one worst disast recent histori
